stockCode,stockName
A008775,호텔신라우
A008800,스튜디오 썸머
A008830,대동기어
A008870,금비
A008930,한미사이언스
A008970,동양철관
A009070,KCTC
A009140,경인전자
A009150,삼성전기
A009155,삼성전기우
A009160,SIMPAC
A009180,한솔로지스틱스
A009190,대양금속
A009200,무림페이퍼
A009240,한샘
A009270,신원
A009275,신원우
A009280,다함이텍
A009290,광동제약
A009300,삼아제약
A009310,참엔지니어링
A009320,대우부품
A009410,태영건설
A009415,태영건설우
A009420,한올바이오파마
A009440,KC그린홀딩스
A009450,경동나비엔
A009460,한창제지
A009470,삼화전기
A009520,포스코엠텍
A009540,현대중공업
A009580,무림P&P
A009620,삼보산업
A009680,모토닉
A009730,코센
A009770,삼정펄프
A009780,엠에스씨
A009810,엔케이물산
A009830,한화케미칼
A009835,한화케미칼우
A009970,영원무역홀딩스
A010040,한국내화
A010050,우리종금
A010060,OCI
A010090,이마트에브리데이
A010100,한국프랜지
A010120,LS산전
A010130,고려아연
A010140,삼성중공업
A010145,삼성중공우
A010170,대한광통신
A010240,흥국
A010280,쌍용정보통신
A010400,우진아이엔에스
A010420,한솔PNS
A010470,오리콤
A010580,지코
A010600,웰바이오텍
A010620,현대미포조선
A010640,진양폴리
A010660,화천기계
A010690,화신
A010770,평화홀딩스
A010780,아이에스동서
A010820,퍼스텍
A010950,S-Oil
A010955,S-Oil우
A010960,삼호개발
A011000,진원생명과학
A011040,경동제약
A011070,LG이노텍
A011080,형지I&C
A011090,에넥스
A011150,CJ씨푸드
A011155,CJ씨푸드1우
A011160,두산건설
A011170,롯데케미칼
A011200,현대상선
A011210,현대위아
A011230,삼화전자
A011280,태림포장
A011300,성안
A011320,유니크
A011330,유니켐
A011370,서한
A011390,부산산업
A011420,갤럭시아에스엠
A011500,한농화성
A011560,세보엠이씨
A011690,유양디앤유
A011700,한신기계
A011760,현대상사
A011780,금호석유
A011785,금호석유우
A011790,SKC
A011810,STX
A011870,엘티삼보
A011930,신성이엔지
A012030,DB
A012160,영흥철강
A012170,키위미디어그룹
A012200,계양전기
A012205,계양전기우
A012280,영화금속
A012320,경동인베스트
A012330,현대모비스
A012340,뉴인텍
A012350,한국체인공업
A012450,한화에어로스페이스
A012510,더존비즈온
A012580,신세계톰보이
A012600,청호컴넷
A012610,경인양행
A012620,원일특강
A012630,HDC
A012670,환영철강공업
A012690,모나리자
A012700,리드코프
A012750,에스원
A012760,동아
A012790,신일제약
A012800,대창
A012860,서연전자
A013000,세우글로벌
A013030,하이록코리아
A013090,인켈
A013120,동원개발
A013310,아진산업
A013360,일성건설
A013520,화승알앤에이
A013570,디와이
A013580,계룡건설
A013700,까뮤이앤씨
A013720,청보산업
A013810,스페코
A013870,지엠비코리아
A013890,지누스
A013900,두원중공업
A013990,아가방컴퍼니
A014100,보령메디앙스
A014130,한익스프레스
A014160,대영포장
A014190,원익큐브
A014200,광림
A014280,금강공업
A014285,금강공업우
A014440,영보화학
A014470,부방
A014530,극동유화
A014570,고려제약
A014580,백광소재
A014620,성광벤드
A014680,한솔케미칼
A014710,사조씨푸드
A014790,한라
A014820,동원시스템즈
A014825,동원시스템즈우
A014830,유니드
A014910,성문전자
A014915,성문전자우
A014940,오리엔탈정공
A014970,삼륭물산
A014990,인디에프
A015020,이스타코
A015150,다산
A015200,성원
A015230,대창단조
A015260,에이엔피
A015350,부산가스
A015360,예스코홀딩스
A015540,메디파트너생명공학
A015590,큐로
A015710,코콤
A015750,성우하이텍
A015760,한국전력
A015860,일진홀딩스
A015890,태경산업
A016090,대현
A016100,리더스코스메틱
A016250,이테크건설
A016360,삼성증권
A016380,동부제철
A016385,동부제철우
A016450,한세예스24홀딩스
A016580,환인제약
A016590,신대양제지
A016600,큐캐피탈
A016610,DB금융투자
A016670,포비스티앤씨
A016710,대성홀딩스
A016740,두올
A016790,현대사료
A016800,퍼시스
A016880,웅진
A016920,카스
A017000,신원종합개발
A017040,광명전기
A017180,명문제약
A017250,인터엠
A017370,우신시스템
A017390,서울가스
A017480,삼현철강
A017510,세명전기
A017550,수산중공업
A017650,대림제지
A017670,SK텔레콤
A017680,데코앤이
A017800,현대엘리베이
A017810,풀무원
A017890,한국알콜
A017900,광전자
A017940,E1
A017960,한국카본
A018000,유니슨
A018120,진로발효
A018250,애경산업
A018260,삼성에스디에스
A018290,지엠피
A018310,삼목에스폼
A018360,삼성메디슨
A018470,조일알미늄
A018500,동원금속
A018620,우진비앤지
A018670,SK가스
A018680,서울제약
A018700,바른손
A018880,한온시스템
A019010,그랜드백화점
A019170,신풍제약
A019175,신풍제약우
A019180,티에이치엔
A019210,와이지-원
A019440,세아특수강
A019490,하이트론
A019540,일지테크
A019550,SBI인베스트먼트
A019570,제미니투자
A019590,엠벤처투자
A019660,글로본
A019680,대교
A019685,대교우B
A019770,서연탑메탈
A019990,에너토크
A020000,한섬
A020120,키다리스튜디오
A020150,일진머티리얼즈
A020180,대신정보통신
A020400,대동금속
A020560,아시아나항공
A020710,시공테크
A020760,일진디스플
A020920,코리아로터리
A021040,대호피앤씨
A021045,대호피앤씨우
A021050,서원
A021080,에이티넘인베스트
A021240,코웨이
A021320,KCC건설
A021650,한국큐빅
A021820,세원정공
A021880,메이슨캐피탈
A022100,포스코 ICT
A022220,정산애강
A023000,삼원강재
A023150,MH에탄올
A023160,태광
A023350,한국종합기술
A023410,유진기업
A023440,제일제강
A023450,동남합성
A023460,CNH
A023530,롯데쇼핑
A023590,다우기술
A023600,삼보판지
A023760,한국캐피탈
A023770,플레이위드
A023790,동일철강
A023800,인지컨트롤스
A023810,인팩
A023890,아트라스BX
A023900,풍국주정
A023910,대한약품
A023960,에쓰씨엔지니어링
A024060,흥구석유
A024070,WISCOM
A024090,디씨엠
A024110,기업은행
A024120,KB오토시스
A024720,한국콜마홀딩스
A024740,한일단조
A024800,유성티엔에스
A024810,이화전기
A024830,세원물산
A024840,갑을메탈
A024850,피에스엠씨
A024880,케이피에프
A024890,대원화성
A024900,덕양산업
A024910,경창산업
A024940,PN풍년
A024950,삼천리자전거
A025000,KPX케미칼
A025100,포스코건설
A025320,시노펙스
A025440,대성엘텍
A025530,SJM홀딩스
A025540,한국단자
A025550,한국선재
A025560,미래산업
A025620,제이준코스메틱
A025750,한솔홈데코
A025770,한국정보통신
A025820,이구산업
A025860,남해화학
A025870,신라에스지
A025880,케이씨피드
A025890,한국주강
A025900,동화기업
A025950,동신건설
A025980,아난티
A026040,제이에스티나
A026150,특수건설
A026180,현대정보기술
A026710,동진건설
A026890,디피씨
A026910,광진실업
A026940,부국철강
A026960,동서
A026970,대백저축은행
A027040,서울전자통신
A027050,코리아나
A027360,아주IB투자
A027390,한화갤러리아타임월드
A027410,BGF
A027580,상보
A027710,팜스토리
A027740,마니커
A027830,대성창투
A027970,세하
A028040,미래SCI
A028050,삼성엔지니어링
A028080,휴맥스홀딩스
A028100,동아지질
A028150,GS홈쇼핑
A028260,삼성물산
A02826K,삼성물산우B
A028300,에이치엘비
A028670,팬오션
A029460,케이씨
A029480,바른테크놀로지
A029530,신도리코
A029780,삼성카드
A029960,코엔텍
A030000,제일기획
A030010,하이투자증권
A030190,NICE평가정보
A030200,KT
A030210,KTB투자증권
A030270,에스마크
A030350,드래곤플라이
A030520,한글과컴퓨터
A030530,원익홀딩스
A030610,교보증권
A030720,동원수산
A030790,동양네트웍스
A030950,보진재
A030960,양지사
A031310,아이즈비전
A031330,에스에이엠티
A031390,녹십자셀
A031430,신세계인터내셔날
A031440,신세계푸드
A031510,오스템
A031690,케이티파워텔
A031820,콤텍시스템
A031860,엔에스엔
A031980,피에스케이
A032080,아즈텍WB
A032190,다우데이타
A032280,삼일
A032350,롯데관광개발
A032500,케이엠더블유
A032540,TJ미디어
A032560,황금에스티
A032580,피델릭스
A032620,유비케어
A032640,LG유플러스
A032680,소프트센
A032685,소프트센우
A032750,삼진
A032790,엠젠플러스
A032800,판타지오
A032820,우리기술
